"Aggregated: Adapter Connections","Aggregated: Preferred Host Name","Aggregated: Preferred IPs","Aggregated: Preferred MAC Address","Aggregated: Preferred OS: Type and Distribution"
"active_directory_adapter
cisco_adapter
deep_security_adapter
paloalto_xdr_adapter","SVVUW0106S3MXCO","10.188.60.195","00:90:FB:63:B2:84","Windows 10"
"active_directory_adapter
cisco_adapter
deep_security_adapter
paloalto_xdr_adapter","VFO600606ALMXCO","10.188.62.176","F4:39:09:85:9F:D7","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VIHG01X08ADMXCO","10.188.132.10","6C:4B:90:BA:3E:6C","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VA531B616ALMXC0","10.188.162.131","E8:6A:64:24:0B:97","Windows 10"
"active_directory_adapter
cisco_adapter
cisco_adapter
paloalto_xdr_adapter","VA4F6AB16ALMXCO","10.188.161.16
10.188.217.177","48:89:E7:31:0C:68
E8:6A:64:F9:BB:85","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VB363C916ALMXCO","10.188.162.134","00:2B:67:53:45:00","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VISF63108ADMXCO","10.188.82.125","18:60:24:ED:C1:BA","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VISXXAF08ADMXCO","10.188.82.66","10:E7:C6:B9:8F:A8","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAI1067916ALMXC","10.188.161.24","E8:6A:64:11:73:50","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VR3326513ALMXCO","10.188.136.10","00:2B:67:53:2F:14","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter
paloalto_xdr_adapter","VKK7A8815ADMXCO","10.188.151.70","FC:3F:DB:06:8D:71","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDK1590315GMXCO","10.188.152.70","8C:16:45:9C:CE:CD","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VIS536208ALMXCO","10.188.87.101","98:FA:9B:14:18:14","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VCJ067014ALMXCO","10.188.217.244","A0:51:0B:50:82:64","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VJ6D70316ALMXCO","10.188.162.106","3C:52:82:4D:2C:2B","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDR30E616ALMXCO","10.188.161.12","6C:24:08:A1:45:14","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAA6A8E16GDMXCO","10.188.162.127","98:FA:9B:BD:24:27","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOQ489FS4ADMXCO","10.188.200.11","D8:BB:C1:BA:29:C9","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VISG02004ADMXCO","10.188.81.229","6C:4B:90:BA:3E:A2","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDJ8B9116ALMXCO","10.188.162.102","AC:E2:D3:9C:DE:DD","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VU62CF112ALMXCO","10.188.219.62","28:7F:CF:B1:8A:4B","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter
paloalto_xdr_adapter","VPK256606ALMXCO","10.188.62.49","6C:24:08:AF:85:F5","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VO7E55F15ALMXCO","10.188.152.82","F4:39:09:D6:32:8A","Windows 10"
