PreferredonlyoneIP,Preferred Hostname,Preferred Mac
10.191.104.225,IXTAI3,00:21:28:FB:88:20
10.191.129.184,IXTAI2,00:21:28:C0:A2:92
10.191.129.167,IXTAI1,00:21:28:C0:A5:74
10.119.144.28,IXTAF4,00:21:28:A3:19:64
10.119.144.20,IXTAF3,00:21:28:8E:1D:0A
10.191.129.151,IXTAF2,00:21:28:C0:99:EC
10.191.129.136,IXTAF1,00:21:28:C0:A2:D4
10.119.167.224,UXINGHDR5,00:14:4F:FB:4B:36
10.119.167.221,UXINGHDR3,00:14:4F:F9:AE:35
10.119.3.22,,FE:18:C3:EB:69:02
10.119.137.38,UXSBOPP01,00:14:4F:FA:74:65
10.191.107.11,UXDXBCK02,A0:36:9F:61:67:1A
10.191.105.19,UXDESINF,00:21:28:7E:39:D6
10.119.162.52,ITHNSM10,00:10:E0:70:80:92
10.119.219.218,UXWASIX1200,BE:B8:85:17:BA:02
10.152.28.20,ITHFZTTANGLCTL01-VM,FA:16:3D:64:48:A6
10.152.28.22,ITHFZTTANGLCTL01,BC:16:95:14:96:E9
10.119.248.15,VM_MGT-9C-FMAN-IXTLA,00:50:56:95:E0:1B
10.152.28.23,ITHFZTTANGLCTL02,BC:16:95:14:97:39
10.152.28.21,ITHFZTTANGLCTL02-VM,FA:16:3D:6B:30:6C
10.191.129.201,IXTSD999B,00:21:28:C0:89:DE
10.191.129.199,IXTSD999A,00:21:28:C0:A5:86
10.119.144.118,IXTSD971B,00:10:E0:1F:C0:A4
10.119.144.116,IXTSD971A,00:21:28:FF:64:5C
10.119.144.42,IXTSD970B,00:21:28:FF:97:C2
10.119.144.40,IXTSD970A,00:21:28:FF:5D:EA
10.119.144.37,IXTSD969B,00:21:28:FF:63:E4
10.119.144.45,IXTSD969A,00:21:28:FF:95:A6
10.191.129.45,ITHSIMEP2,02:08:20:9A:91:6B
10.119.155.247,ITHPI1A,02:08:20:CC:15:1D
10.191.129.44,ITHCAP5,00:21:28:E7:F9:16
10.191.104.45,UXTCEL11,5C:F3:FC:EB:A0:A0
10.191.241.164,PLOGBPM1,00:14:4F:2B:11:67
10.59.195.229,ITHVHWLAPIPAP04,"00:50:56:81:1A:4C
00:50:56:81:2E:46
00:50:56:81:69:70
00:50:56:81:A9:FE"
10.54.133.4,ITHFIBDISTAVIOS02,B2:1A:7A:01:CC:03
10.54.133.3,ITHFIBDISTAVIOS01,B2:1A:70:0C:37:03
10.191.106.235,,AE:09:48:AE:FD:0E
10.119.137.50,UXOVITP01,00:14:4F:FA:B6:D9
10.119.162.230,UXIMSIN1,A0:36:9F:5E:5B:14
10.119.162.233,UXIMSIN2,A0:36:9F:5E:58:04
10.191.43.42,UXCOMQA4,E4:1F:13:4F:CB:EC
10.191.106.24,IXTNS1,00:10:E0:22:25:9E
10.119.226.9,ITHMET1A,02:08:20:FB:DE:F1
10.119.155.241,ITHCAP8A,90:E2:BA:A2:D7:E9
10.119.155.243,ITHCAP8B,90:E2:BA:A2:DF:F5
10.191.106.244,ITHCAP6,00:21:28:F5:59:E0
10.191.129.13,ITHCAP1B,00:21:28:DF:E5:CB
10.191.129.11,ITHCAP1A,00:0B:5D:E0:AF:FC
10.191.106.254,ITHCAP7,00:21:28:F2:11:7C
10.54.128.44,UXINGE04,00:14:4F:FB:07:3D
10.54.128.47,ITHVSUDWHFOAP01,00:14:4F:FB:D9:28
10.59.26.18,ITHHWBESRK1BCK02,08:4F:0A:70:4A:39
10.59.26.16,ITHHWBESRK1BCK01,08:4F:0A:70:4A:47
10.59.26.20,ITHHWBESRK2BCK03,08:4F:0A:70:4A:40
10.59.26.22,ITHHWBESRK2BCK04,08:4F:0A:70:4A:32
10.54.128.42,ITHFOCCSLUAP02,02:08:20:5E:A5:FF
