Date,ASSETS IN IXTLAHUACA,IDENTIFIED DEVICES IN IXTLAHUACA,SERVERS WITH CORTEX IN IXTLAHUACA,SERVERS WITHOUT CORTEX IN  IXTLAHUACA,ALL UNIDENTIFIED SERVERS IXTLAHUACA,UNMANAGED ASSETS IXTLAHUACA
2025-05-12 00:00:00,33947,11541,3394,4892,8576,22406
2025-05-13 00:00:00,34279,11805,3625,4919,8619,22474
2025-05-14 00:00:00,34295,11813,3805,4742,8615,22482
2025-05-15 00:00:00,34284,11808,3938,4605,8590,22476
2025-05-16 00:00:00,34182,11821,3955,4604,8574,22361
2025-05-17 00:00:00,34384,11793,4107,4428,8571,22591
2025-05-18 00:00:00,34377,11780,4097,4426,8582,22597
2025-05-19 00:00:00,34244,11537,3875,4406,8584,22707
2025-05-20 00:00:00,34507,11673,4101,4309,8602,22834
2025-05-21 00:00:00,34533,11687,4103,4313,8620,22846
2025-05-22 00:00:00,34614,11665,4105,4311,8634,22949
2025-05-23 00:00:00,34534,11657,4102,4313,8648,22877
2025-05-24 00:00:00,34728,11664,4105,4315,8646,23064
2025-05-25 00:00:00,34687,11660,4105,4311,8645,23027
2025-05-26 00:00:00,34775,11425,3873,4293,8644,23350
2025-05-27 00:00:00,35577,11694,4113,4315,8633,23883
2025-05-28 00:00:00,34777,11728,4181,4271,8635,23049
2025-05-29 00:00:00,34909,11729,4178,4276,8769,23180
2025-05-30 00:00:00,34911,11726,4186,4269,8765,23185
2025-05-31 00:00:00,34774,11796,4284,4250,8591,22978
2025-06-01 00:00:00,34753,11786,4279,4247,8591,22967
2025-06-02 00:00:00,34486,11529,4036,4226,8594,22957
2025-06-03 00:00:00,34765,11801,4282,4252,8590,22964
2025-06-04 00:00:00,34790,12427,4290,4870,8131,22363
2025-06-05 00:00:00,34823,12427,4287,4871,8136,22396
2025-06-06 00:00:00,33626,12494,4358,4875,8108,21132
2025-06-07 00:00:00,33659,12525,4387,4875,8100,21134
2025-06-08 00:00:00,33641,12508,4382,4868,8109,21133
2025-06-09 00:00:00,33387,12254,4139,4850,8110,21133
2025-06-10 00:00:00,33666,12509,4378,4873,8120,21157
2025-06-11 00:00:00,33712,12533,4387,4882,8125,21179
2025-06-12 00:00:00,33698,12538,4394,4877,8117,21160
2025-06-13 00:00:00,33714,12543,4397,4879,8109,21171
2025-06-14 00:00:00,33783,12550,4404,4882,8122,21233
2025-06-16 00:00:00,33455,12290,4163,4870,8113,21165
2025-06-17 00:00:00,33728,12550,4400,4887,8116,21178
2025-06-18 00:00:00,33755,12570,4407,4887,8127,21185
2025-06-19 00:00:00,33807,12590,4419,4890,8113,21217
2025-06-20 00:00:00,33846,12643,4448,4918,8128,21203
2025-06-21 00:00:00,33817,12611,4447,4876,8144,21206
2025-06-22 00:00:00,33787,12601,4443,4873,8131,21186
2025-06-23 00:00:00,33770,12586,4431,4876,8124,21184
