Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
13/05/25,1278,664,76,78,424,212,154
14/05/25,1289,667,76,78,428,216,154
15/05/25,1300,674,76,78,426,222,154
16/05/25,1302,673,76,78,428,223,154
17/05/25,1298,671,76,78,428,221,154
18/05/25,1261,647,76,78,418,218,154
19/05/25,1254,645,76,78,414,217,154
20/05/25,1278,664,76,78,417,219,154
21/05/25,1294,673,76,78,424,219,154
22/05/25,1298,675,76,78,427,218,154
23/05/25,1298,673,76,78,428,219,154
24/05/25,1289,669,76,79,423,219,155
25/05/25,1254,649,76,79,415,212,155
26/05/25,1252,650,76,79,412,212,155
27/05/25,1282,673,76,79,419,212,155
28/05/25,1295,680,76,79,424,213,155
29/05/25,1293,675,76,79,426,214,155
30/05/25,1288,671,76,79,425,214,155
31/05/25,1281,667,78,77,422,214,155
01/06/25,1251,644,78,77,417,212,155
02/06/25,1247,643,78,77,414,212,155
03/06/25,1275,664,78,77,420,213,155
04/06/25,1283,665,78,77,427,213,155
05/06/25,1279,665,78,76,424,212,154
06/06/25,1282,664,78,76,425,215,154
07/06/25,1283,665,78,76,423,217,154
08/06/25,1245,637,78,76,418,212,154
09/06/25,1230,625,78,76,416,211,154
10/06/25,1270,656,78,76,424,212,154
11/06/25,1282,665,78,76,427,212,154
12/06/25,1281,663,78,76,426,213,154
13/06/25,1277,661,78,76,425,212,154
14/06/25,1274,657,78,76,426,212,154
16/06/25,1225,625,78,76,407,214,154
17/06/25,1256,650,78,76,415,212,154
18/06/25,1272,665,78,76,418,210,154
19/06/25,1259,655,78,76,414,211,154
20/06/25,1259,656,79,75,414,210,154
21/06/25,1230,632,79,73,413,206,154
22/06/25,1241,640,79,73,416,206,154
23/06/25,1224,625,79,73,415,205,154
24/06/25,1262,656,79,73,419,208,154
