Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
23/10/25,442,151,1,0,0,291,1
30/10/25,442,151,1,0,0,291,1
04/11/25,438,150,1,0,0,288,1
06/11/25,439,150,1,0,0,289,1
13/11/25,438,150,1,0,0,288,1
20/11/25,440,151,1,0,0,289,1
27/11/25,442,150,1,0,0,292,1
04/12/25,440,148,1,0,0,292,1
11/12/25,433,143,1,0,0,290,1
18/12/25,431,142,1,0,0,289,1
26/12/25,431,142,1,0,0,289,1
02/01/26,432,142,1,0,0,290,1
21/01/26,414,157,0,1,170,87,1
28/01/26,415,159,0,1,170,86,1
04/02/26,416,159,0,1,171,86,1
09/02/26,413,157,0,1,169,87,1
