Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
18/09/25,580,234,0,0,24,322,0
25/09/25,588,241,0,0,21,326,0
02/10/25,574,226,0,0,22,326,0
09/10/25,569,220,0,0,22,327,0
16/10/25,566,217,0,0,22,327,0
23/10/25,566,218,0,0,22,326,0
30/10/25,558,212,0,0,22,324,0
04/11/25,552,208,0,0,22,322,0
06/11/25,553,207,0,0,22,324,0
13/11/25,537,194,0,0,21,322,0
20/11/25,510,167,0,0,22,321,0
27/11/25,483,137,0,0,22,324,0
04/12/25,478,133,0,0,22,323,0
11/12/25,472,126,0,0,23,323,0
18/12/25,469,125,0,0,21,323,0
26/12/25,464,121,0,0,21,322,0
02/01/26,460,117,0,0,21,322,0
08/01/26,459,116,0,0,21,322,0
21/01/26,461,413,0,0,43,5,0
28/01/26,462,414,0,0,44,4,0
04/02/26,460,415,0,0,42,3,0
