Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
18/09/25,478,183,2,0,48,247,2
25/09/25,519,216,2,0,50,253,2
02/10/25,479,181,2,0,47,251,2
09/10/25,475,176,2,0,49,250,2
16/10/25,470,176,2,0,46,248,2
23/10/25,467,171,2,0,49,247,2
30/10/25,476,175,2,0,51,250,2
04/11/25,470,174,2,0,50,246,2
06/11/25,473,176,2,0,51,246,2
13/11/25,468,171,2,0,50,247,2
20/11/25,469,171,2,0,51,247,2
27/11/25,473,168,2,0,51,254,2
04/12/25,475,167,2,0,50,258,2
11/12/25,469,164,2,0,49,256,2
18/12/25,466,163,2,0,49,254,2
26/12/25,459,163,2,0,48,248,2
02/01/26,460,163,2,0,48,249,2
08/01/26,467,163,2,0,49,255,2
21/01/26,459,376,0,2,67,16,2
28/01/26,467,381,0,2,66,20,2
04/02/26,465,380,0,2,67,18,2
