Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
25/09/25,712,242,12,3,65,405,15
02/10/25,712,225,12,3,65,422,15
09/10/25,708,224,12,3,65,419,15
16/10/25,708,222,12,3,65,421,15
23/10/25,707,220,12,3,65,422,15
30/10/25,708,222,12,3,65,421,15
04/11/25,707,221,12,3,65,421,15
06/11/25,711,221,12,3,65,425,15
13/11/25,707,223,12,3,65,419,15
20/11/25,705,219,12,3,65,421,15
27/11/25,710,221,12,3,65,424,15
04/12/25,706,219,12,3,65,422,15
11/12/25,703,215,12,3,65,423,15
18/12/25,701,218,12,3,65,418,15
21/01/26,706,625,12,3,75,6,15
28/01/26,704,623,12,3,75,6,15
04/02/26,705,619,12,3,75,11,15
16/02/26,694,609,12,3,74,11,15
17/02/26,693,608,12,3,74,11,15
