Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
13/05/25,34279,11805,3625,4919,8619,13855,8544
14/05/25,34295,11813,3805,4742,8615,13867,8547
15/05/25,34284,11808,3938,4605,8590,13886,8543
16/05/25,34182,11821,3955,4604,8574,13787,8559
17/05/25,34384,11793,4107,4428,8571,14020,8535
18/05/25,34377,11780,4097,4426,8582,14015,8523
19/05/25,34244,11537,3875,4406,8584,14123,8281
20/05/25,34507,11673,4101,4309,8602,14232,8410
21/05/25,34533,11687,4103,4313,8620,14226,8416
22/05/25,34614,11665,4105,4311,8634,14315,8416
23/05/25,34534,11657,4102,4313,8648,14229,8415
24/05/25,34728,11664,4105,4315,8646,14418,8420
25/05/25,34687,11660,4105,4311,8645,14382,8416
26/05/25,34775,11425,3873,4293,8644,14706,8166
27/05/25,35577,11694,4113,4315,8633,15250,8428
28/05/25,34777,11728,4181,4271,8635,14414,8452
29/05/25,34909,11729,4178,4276,8769,14411,8454
30/05/25,34911,11726,4186,4269,8765,14420,8455
31/05/25,34774,11796,4284,4250,8591,14387,8534
01/06/25,34753,11786,4279,4247,8591,14376,8526
02/06/25,34486,11529,4036,4226,8594,14363,8262
03/06/25,34765,11801,4282,4252,8590,14374,8534
04/06/25,34790,12427,4290,4870,8131,14232,9160
05/06/25,34823,12427,4287,4871,8136,14260,9158
06/06/25,33626,12494,4358,4875,8108,13024,9233
07/06/25,33659,12525,4387,4875,8100,13034,9262
08/06/25,33641,12508,4382,4868,8109,13024,9250
09/06/25,33387,12254,4139,4850,8110,13023,8989
10/06/25,33666,12509,4378,4873,8120,13037,9251
11/06/25,33712,12533,4387,4882,8125,13054,9269
12/06/25,33698,12538,4394,4877,8117,13043,9271
13/06/25,33714,12543,4397,4879,8109,13062,9276
14/06/25,33783,12550,4404,4882,8122,13111,9286
16/06/25,33455,12290,4163,4870,8113,13052,9033
17/06/25,33728,12550,4400,4887,8116,13062,9296
18/06/25,33755,12570,4407,4887,8127,13058,9296
19/06/25,33807,12590,4419,4890,8113,13104,9296
20/06/25,33846,12643,4448,4918,8128,13075,9296
21/06/25,33817,12611,4447,4876,8144,13062,9296
22/06/25,33787,12601,4443,4873,8131,13055,9296
23/06/25,33490,12335,4193,4853,8109,13046,9296
24/06/25,33893,12636,4472,4886,8125,13132,9296
10/07/25,33846,12910,4581,5014,8014,12922,9595
11/07/25,33780,12901,4579,5013,7948,12931,9592
24/07/25,33745,12823,4580,5013,7958,12964,9593
31/07/25,33704,12820,4584,5006,7951,12933,9590
07/08/25,33444,12837,4921,4680,7698,12909,9601
14/08/25,33465,12873,4945,4681,7687,12905,9626
21/08/25,33433,13099,4949,4666,7454,12880,9615
26/08/25,33454,13099,4920,4658,7454,12880,9578
28/08/25,33497,12987,4919,4661,7491,13019,9580
04/09/25,33378,12973,4916,4659,7474,12931,9575
11/09/25,33531,12975,4915,4655,7519,13037,9570
18/09/25,33449,12966,4913,4656,7503,12980,9569
25/09/25,32726,13312,5451,4444,7224,12190,9895
02/10/25,32633,13331,5622,4331,7381,11921,9953
09/10/25,32459,13750,5623,4754,7228,11481,10377
16/10/25,32509,13781,5642,4758,8648,10080,10400
23/10/25,32245,13802,5750,4683,8656,9787,10433
30/10/25,31942,13883,5974,4543,7084,10975,10517
06/11/25,31829,13870,5996,4507,7076,10883,10503
13/11/25,31902,13850,5992,4507,7081,10971,10499
19/11/25,31915,13862,5988,4505,7081,10972,10493
20/11/25,31922,13860,5988,4497,7075,10987,10485
27/11/25,29935,13768,5970,4539,7113,9054,10509
04/12/25,32091,13779,5963,4554,7237,11075,10517
12/12/25,31847,13736,5951,4543,7074,11037,10494
18/12/25,31788,13737,5945,4550,7005,11046,10495
20/01/26,31004,13746,6231,4325,6947,10311,10556
28/01/26,31166,13763,6230,4331,7076,10327,10561
04/02/26,30988,13756,6245,4316,6946,10286,10561
11/02/26,0,13733,6234,4303,6978,-20711,10537
17/02/26,31064,13807,6249,4314,6981,10276,10563
18/02/26,31057,13797,6248,4312,6994,10266,10560
23/02/26,30941,13704,6236,4269,6990,10247,10505
24/02/26,30973,13735,6249,4253,6994,10244,10502
25/02/26,30953,13707,6231,4237,7005,10241,10468
13/05/26,31732,18162,6493,8509,4881,8689,15002
20/05/26,32120,18088,6497,8427,4974,9058,14924
22/05/26,31859,20751,6488,9791,3655,7453,16279
25/05/26,31695,20657,6472,9729,3618,7420,16201
18/06/26,31505,20463,6796,9527,3655,7387,16323
19/06/26,31275,20454,6804,9498,3647,7174,16302
08/07/26,31246,20352,6731,9472,3700,7194,16203
14/07/26,31312,20342,6775,9442,3686,7284,16217
