Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
07/08/25,358,38,0,0,51,269,0
14/08/25,358,38,0,0,21,299,0
21/08/25,325,27,0,0,0,298,0
26/08/25,324,26,0,0,1,297,0
28/08/25,324,27,0,0,0,297,0
04/09/25,319,22,0,0,0,297,0
11/09/25,318,22,0,0,0,296,0
18/09/25,314,18,0,0,0,296,0
25/09/25,314,18,0,0,0,296,0
02/10/25,314,18,0,0,0,296,0
09/10/25,312,16,0,0,0,296,0
16/10/25,312,16,0,0,0,296,0
23/10/25,312,16,0,0,0,296,0
30/10/25,312,16,0,0,0,296,0
06/11/25,312,16,0,0,0,296,0
13/11/25,312,16,0,0,0,296,0
19/11/25,312,16,0,0,0,296,0
20/11/25,312,16,0,0,0,296,0
27/11/25,310,14,0,0,0,296,0
04/12/25,24,13,0,0,0,11,0
11/12/25,22,12,0,0,0,10,0
18/12/25,21,11,0,0,0,10,0
26/12/25,21,11,0,0,0,10,0
02/01/26,21,11,0,0,0,10,0
09/02/26,4,0,0,0,0,4,0
