Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
07/08/25,484,58,0,0,140,286,0
14/08/25,489,58,0,0,96,335,0
21/08/25,459,124,0,0,3,332,0
26/08/25,456,124,0,0,4,328,0
28/08/25,458,127,0,0,4,327,0
04/09/25,447,116,0,0,3,328,0
11/09/25,447,116,0,0,3,328,0
18/09/25,449,116,0,0,5,328,0
25/09/25,447,113,0,0,5,329,0
02/10/25,446,439,0,0,7,0,0
09/10/25,443,437,0,0,4,2,0
16/10/25,444,438,0,0,4,2,0
23/10/25,443,437,0,0,4,2,0
30/10/25,441,435,0,0,4,2,0
06/11/25,446,440,0,0,4,2,0
13/11/25,443,436,0,0,7,0,0
20/11/25,445,438,0,0,7,0,0
27/11/25,446,438,0,0,7,1,0
04/12/25,446,439,0,0,7,0,0
11/12/25,277,270,0,0,7,0,0
18/12/25,276,269,0,0,7,0,0
26/12/25,276,269,0,0,7,0,0
22/12/25,276,269,0,0,7,0,0
09/02/26,281,244,0,0,9,28,0
