Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
04/09/25,394,307,1,2,42,45,3
11/09/25,391,304,1,2,42,45,3
18/09/25,394,307,1,2,42,45,3
25/09/25,390,303,1,2,42,45,3
02/10/25,391,296,1,2,41,54,3
09/10/25,386,285,1,2,41,60,3
16/10/25,380,277,1,2,42,61,3
23/10/25,336,249,1,2,36,51,3
30/10/25,341,246,1,2,36,59,3
06/11/25,348,250,1,2,38,60,3
13/11/25,347,251,1,2,37,59,3
19/11/25,348,252,1,2,37,59,3
20/11/25,349,253,1,2,37,59,3
27/11/25,351,253,1,2,37,61,3
04/12/25,353,255,1,2,37,61,3
11/12/25,342,245,1,2,36,61,3
18/12/25,345,247,1,2,37,61,3
26/12/25,343,246,1,2,36,61,3
02/01/26,345,248,1,2,36,61,3
09/02/26,338,267,1,3,42,29,4
