Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
04/09/25,1387,200,1,7,358,829,8
11/09/25,1386,198,1,6,358,830,7
18/09/25,1383,196,1,6,357,830,7
25/09/25,1379,191,1,6,358,830,7
02/10/25,1379,192,1,6,358,829,7
09/10/25,1378,189,1,6,360,829,7
16/10/25,1361,188,1,6,346,827,7
23/10/25,1364,189,1,6,347,828,7
30/10/25,1336,188,1,6,320,828,7
06/11/25,1336,189,1,6,318,829,7
13/11/25,1335,190,1,6,318,827,7
20/11/25,1326,191,1,6,308,827,7
27/11/25,1293,168,1,6,307,818,7
04/12/25,1315,183,1,6,307,825,7
11/12/25,1315,180,1,6,307,828,7
18/12/25,1316,180,1,6,307,829,7
26/12/25,1316,180,1,6,307,829,7
02/01/26,1316,180,1,6,307,829,7
09/02/26,1318,833,1,2,311,174,3
