Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
28/08/25,803,250,2,0,116,437,2
04/09/25,802,248,2,0,116,438,2
11/09/25,800,247,2,0,116,437,2
18/09/25,797,244,2,0,116,437,2
25/09/25,792,239,2,0,116,437,2
02/10/25,792,682,2,7,106,4,9
09/10/25,790,680,2,7,68,42,9
16/10/25,793,682,2,7,59,52,9
23/10/25,794,682,2,7,74,38,9
30/10/25,774,671,2,0,50,53,2
06/11/25,782,672,2,0,59,51,2
13/11/25,776,673,2,0,96,7,2
20/11/25,763,672,2,0,84,7,2
27/11/25,761,668,2,0,85,8,2
04/12/25,759,664,2,0,87,8,2
11/12/25,756,660,2,0,88,8,2
18/12/25,755,659,2,0,88,8,2
26/12/25,753,657,2,0,88,8,2
02/01/26,752,655,2,0,88,9,2
09/02/26,749,654,0,2,89,6,2
