Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
25/09/25,229,55,0,0,6,168,0
02/10/25,229,55,0,0,6,168,0
09/10/25,229,55,0,0,6,168,0
16/10/25,229,55,0,0,6,168,0
23/10/25,229,55,0,0,6,168,0
30/10/25,229,55,0,0,6,168,0
04/11/25,229,55,0,0,6,168,0
06/11/25,229,55,0,0,6,168,0
13/11/25,229,55,0,0,6,168,0
20/11/25,229,55,0,0,6,168,0
27/11/25,230,54,0,0,6,170,0
04/12/25,214,44,0,0,6,164,0
11/12/25,203,34,0,0,6,163,0
18/12/25,202,33,0,0,6,163,0
26/12/25,199,30,0,0,6,163,0
21/01/26,44,42,0,0,1,1,0
28/01/26,39,38,0,0,0,1,0
04/02/26,37,35,0,0,0,2,0
