Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
02/10/25,653,449,3,1,181,23,4
09/10/25,651,457,3,1,188,6,4
16/10/25,650,456,3,1,187,7,4
23/10/25,649,454,3,1,186,9,4
30/10/25,648,454,3,1,186,8,4
04/11/25,649,455,3,1,186,8,4
06/11/25,650,456,3,1,187,7,4
13/11/25,650,456,3,1,187,7,4
20/11/25,648,454,3,1,185,9,4
27/11/25,643,450,3,1,185,8,4
04/12/25,641,448,3,1,182,11,4
11/12/25,636,445,3,1,182,9,4
18/12/25,636,444,3,1,182,10,4
21/01/26,636,448,1,4,176,12,5
28/01/26,636,448,1,4,176,12,5
04/02/26,637,448,1,4,176,13,5
