Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
28/08/25,840,421,4,12,249,170,16
04/09/25,815,391,4,12,250,174,16
11/09/25,818,391,4,12,250,177,16
18/09/25,805,367,4,12,250,188,16
25/09/25,811,374,4,12,252,185,16
02/10/25,812,362,4,12,251,199,16
09/10/25,811,588,12,8,143,80,20
16/10/25,810,586,12,8,144,80,20
23/10/25,801,581,12,8,140,80,20
30/10/25,802,581,12,8,141,80,20
06/11/25,798,577,12,7,141,80,19
13/11/25,802,581,12,7,198,23,19
20/11/25,802,581,12,7,198,23,19
27/11/25,798,578,12,7,198,22,19
04/12/25,788,567,12,7,198,23,19
11/12/25,791,568,12,7,198,25,19
18/12/25,788,566,12,7,198,24,19
26/12/25,773,554,12,7,196,23,19
02/01/26,775,555,12,7,196,24,19
09/02/26,784,548,4,12,200,36,16
