Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
02/10/25,518,485,0,0,24,9,0
09/10/25,515,483,0,0,25,7,0
16/10/25,515,482,0,0,24,9,0
23/10/25,515,483,0,0,24,8,0
30/10/25,517,485,0,0,24,8,0
04/11/25,517,485,0,0,24,8,0
06/11/25,518,486,0,0,24,8,0
13/11/25,517,485,0,0,24,8,0
20/11/25,517,485,0,0,24,8,0
27/11/25,518,484,0,0,24,10,0
04/12/25,517,484,0,0,23,10,0
11/12/25,517,484,0,0,23,10,0
18/12/25,517,484,0,0,23,10,0
26/12/25,517,484,0,0,23,10,0
02/01/26,514,481,0,0,23,10,0
21/01/26,512,488,0,0,23,1,0
28/01/26,512,488,0,0,23,1,0
04/02/26,510,486,0,0,23,1,0
09/02/26,509,485,0,0,23,1,0
