Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
23/10/25,325,324,0,0,0,1,0
30/10/25,325,324,0,0,0,1,0
04/11/25,325,324,0,0,0,1,0
06/11/25,325,324,0,0,0,1,0
13/11/25,325,324,0,0,0,1,0
20/11/25,325,324,0,0,0,1,0
27/11/25,322,321,0,0,0,1,0
04/12/25,322,321,0,0,0,1,0
11/12/25,320,319,0,0,0,1,0
18/12/25,320,319,0,0,0,1,0
26/12/25,320,319,0,0,0,1,0
02/01/26,320,319,0,0,0,1,0
21/01/26,320,319,0,0,0,1,0
28/01/26,320,319,0,0,0,1,0
04/02/26,320,319,0,0,0,1,0
