Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
07/08/25,351,16,0,0,177,158,0
14/08/25,350,16,0,0,170,164,0
21/08/25,345,116,0,0,61,168,0
26/08/25,345,116,0,0,61,168,0
28/08/25,345,116,0,0,61,168,0
04/09/25,342,114,0,0,61,167,0
11/09/25,342,114,0,0,61,167,0
18/09/25,342,114,0,0,61,167,0
25/09/25,342,114,0,0,61,167,0
02/10/25,341,339,0,0,2,0,0
09/10/25,340,338,0,0,1,1,0
16/10/25,340,338,0,0,1,1,0
23/10/25,339,337,0,0,1,1,0
30/10/25,341,338,0,0,2,1,0
06/11/25,340,337,0,0,2,1,0
13/11/25,342,339,0,0,3,0,0
20/11/25,339,336,0,0,3,0,0
27/11/25,340,337,0,0,3,0,0
04/12/25,335,332,0,0,3,0,0
11/12/25,314,311,0,0,3,0,0
18/12/25,298,295,0,0,3,0,0
26/12/25,283,280,0,0,3,0,0
02/01/26,278,275,0,0,3,0,0
11/02/26,257,106,0,0,3,148,0
16/02/26,257,104,0,0,3,150,0
22/05/26,274,75,0,0,2,197,0
25/05/26,273,75,0,0,2,196,0
