Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
23/10/25,173,168,0,0,0,5,0
30/10/25,173,168,0,0,0,5,0
04/11/25,173,168,0,0,0,5,0
06/11/25,173,168,0,0,0,5,0
13/11/25,173,168,0,0,0,5,0
20/11/25,173,168,0,0,0,5,0
27/11/25,173,168,0,0,0,5,0
04/12/25,173,168,0,0,0,5,0
11/12/25,170,165,0,0,0,5,0
18/12/25,170,165,0,0,0,5,0
26/12/25,170,165,0,0,0,5,0
21/01/26,30,30,0,0,0,0,0
28/01/26,30,30,0,0,0,0,0
04/02/26,30,30,0,0,0,0,0
09/02/26,30,30,0,0,0,0,0
