Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
11/09/25,335,39,1,6,15,281,7
18/09/25,407,135,1,6,62,210,7
25/09/25,396,115,1,6,64,217,7
02/10/25,405,120,1,6,63,222,7
09/10/25,408,119,1,6,64,225,7
16/10/25,407,117,1,6,64,226,7
22/10/25,407,118,1,6,63,226,7
23/10/25,404,116,1,6,63,225,7
30/10/25,406,118,1,6,64,224,7
04/11/25,408,116,1,6,62,230,7
06/11/25,406,119,1,6,64,223,7
13/11/25,406,117,1,6,64,225,7
19/11/25,405,118,1,6,63,224,7
20/11/25,405,116,1,6,65,224,7
27/11/25,403,111,1,6,65,227,7
04/12/25,402,110,1,6,64,228,7
11/12/25,401,109,1,6,64,228,7
18/12/25,401,110,1,6,64,227,7
26/12/25,400,111,1,6,63,226,7
02/01/26,414,111,1,6,63,240,7
08/01/26,399,107,1,6,64,228,7
21/01/26,404,329,4,3,61,14,7
28/01/26,402,329,4,3,61,12,7
04/02/26,404,329,4,3,61,14,7
