Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
23/10/25,1012,878,0,0,131,3,0
30/10/25,1016,881,0,0,131,4,0
04/11/25,1016,879,0,0,133,4,0
06/11/25,1018,882,0,0,133,3,0
13/11/25,1013,876,0,0,133,4,0
20/11/25,1015,880,0,0,132,3,0
27/11/25,1019,883,0,0,133,3,0
04/12/25,1018,883,0,0,132,3,0
11/12/25,1016,880,0,0,133,3,0
18/12/25,1009,877,0,0,129,3,0
26/12/25,1009,877,0,0,129,3,0
02/01/26,1013,876,0,0,134,3,0
21/01/26,1016,880,0,0,133,3,0
28/01/26,1014,877,0,0,134,3,0
04/02/26,1014,876,0,0,135,3,0
09/02/26,1009,870,0,0,135,4,0
