Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
16/10/25,604,581,0,0,16,7,0
23/10/25,603,580,0,0,16,7,0
30/10/25,605,582,0,0,16,7,0
04/11/25,598,576,0,0,15,7,0
06/11/25,596,574,0,0,15,7,0
13/11/25,596,575,0,0,14,7,0
20/11/25,594,573,0,0,14,7,0
27/11/25,592,571,0,0,14,7,0
04/12/25,593,571,0,0,14,8,0
11/12/25,584,563,0,0,14,7,0
18/12/25,583,562,0,0,14,7,0
26/12/25,583,562,0,0,14,7,0
02/01/26,581,560,0,0,14,7,0
21/01/26,585,564,0,0,14,7,0
28/01/26,587,566,0,0,15,6,0
04/02/26,588,566,0,0,15,7,0
09/02/26,578,556,0,0,15,7,0
