Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
11/09/25,263,42,1,5,55,166,6
18/09/25,281,79,2,5,55,147,7
25/09/25,278,75,2,5,55,148,7
02/10/25,280,75,2,5,55,150,7
09/10/25,279,72,2,5,55,152,7
15/10/25,279,153,2,5,60,66,7
16/10/25,279,161,2,5,60,58,7
23/10/25,276,160,2,5,58,58,7
30/10/25,273,160,2,5,55,58,7
04/11/25,273,160,2,5,55,58,7
06/11/25,273,160,2,5,55,58,7
13/11/25,273,160,2,5,55,58,7
20/11/25,273,160,2,5,55,58,7
27/11/25,257,146,1,5,52,59,6
04/12/25,261,145,1,5,53,63,6
11/12/25,246,143,1,5,41,62,6
18/12/25,245,142,1,5,41,62,6
26/12/25,242,139,1,5,41,62,6
02/01/26,242,140,2,5,41,61,7
08/01/26,242,140,2,5,41,61,7
21/01/26,240,138,1,6,38,64,7
28/01/26,240,138,1,6,38,64,7
04/02/26,241,134,1,2,38,69,3
11/02/26,241,134,1,2,38,69,3
16/02/26,241,134,1,2,38,69,3
