Date,Total Dispositivos y/o IPs Descubiertos,Dispositivos Identificados,Servidores con Cortex,Servidores no protegidos,IPs No Identificados (Servidores),IPs No Identificados (No Vendor),Total Servidores
23/10/25,515,449,2,5,51,15,7
30/10/25,494,448,2,5,41,5,7
04/11/25,492,448,2,5,40,4,7
06/11/25,494,448,2,5,41,5,7
13/11/25,494,449,2,5,41,4,7
19/11/25,491,447,2,5,39,5,7
20/11/25,487,447,2,5,35,5,7
27/11/25,488,448,2,5,35,5,7
04/12/25,484,445,2,5,35,4,7
11/12/25,480,442,2,5,34,4,7
18/12/25,482,443,2,5,35,4,7
26/12/25,482,443,2,5,35,4,7
21/01/26,482,446,5,2,35,1,7
28/01/26,482,446,5,2,35,1,7
04/02/26,483,443,5,2,35,5,7
09/02/26,479,439,5,2,35,5,7
